,Comment
1155,"['ok', 'tuju', 'sopansantunitu', 'yg', 'terbaikbuat']"
1156,"['pikir', 'naikin', 'kepala', 'keluarga', 'tangungan', 'iur', 'kali', 'hasil', 'bulan', 'itu', 'kuli', 'serabutan', 'kadang', 'kadang', 'ga', 'garagara', 'iur', 'bpjs', 'ga', 'makan', 'keluarga', 'mending', 'bubarin', 'aja', 'bpjs', 'waktu', 'ga', 'bpjs', 'aja', 'ga', 'sakit', 'obat', 'presiden', 'pilih', 'rakyat', 'sengsara', 'rakyat']"
1157,"['haduh', 'jgn', 'lg', 'kmrn', 'sdh', 'lg', 'klu', 'bpjs', 'kampung', 'pakai', 'kota', 'bisa', 'pakai', 'lebih', 'bayar', 'klu', 'pakai', 'kota', 'pindah', 'ribet', 'bgt', 'klu', 'bpjs', 'pakai', 'mana']"
1158,"['sy', 'dr', 'febwarimaretperorangnya', 'sdh', 'bayarrb']"
1159,"['indonesia', 'panggung', 'sandiwara', 'kalo', 'udah', 'jgan', 'lupa', 'kerja', 'naik']"
1160,"['bpjs', 'wow', 'bikin', 'rakyat', 'sengsarabikin', 'pegawai', 'kaya']"
1161,"['bpjs', 'kalo', 'cepet', 'tp', 'kalo', 'turun', 'eksekusi', 'aja']"
1162,"['perintah', 'plin', 'plan']"
1163,['rekoso']
1164,"['wajah', 'huni', 'neraka', 'itusama', 'saudara', 'tega']"
1165,"['tanda', 'perintah', 'lindung', 'warga', 'negara', 'layan', 'hak', 'dasar', 'rakyat', 'mundur']"
1166,['maaah']
1167,"['jelas', 'muter', 'muter', 'kaya', 'gin', 'dongsedangkan', 'kelas', 'yg', 'sedikt', 'aja', 'ga', 'nanggulangi', 'turun', 'kelas', 'kelas', 'beban', 'perintah', 'dongpakai', 'otak', 'dongmikir', 'gaji', 'mahal', 'mahal', 'otak', 'kaya', 'ginipenjelasannya', 'muter', 'muter', 'bohong', 'rakyat', 'coba', 'indonesia', 'milik', 'anggota', 'dewan', 'kaya', 'pa', 'saleh', 'sd', 'masyarakat', 'bela', 'kepentingannyasementara', 'dpr', 'yg', 'ssekaranmemebela', 'penting', 'bayar', 'aja', 'yah', 'uang', 'rakyat']"
1168,"['indo', 'nesia', 'kacau']"
1169,"['gausah', 'bayar', 'aja', 'biar', 'bangkrut', 'kl', 'alas', 'yg', 'gak', 'bayar', 'jd', 'beban', 'yg', 'nyaberani', 'gak', 'kl', 'trnyata', 'gak', 'jalan', 'jg', 'pasca', 'naik', 'mundur']"
1170,"['bpjs', 'bubar', 'bener']"
1171,"['dpr', 'pikir', 'mana', 'bayar', 'mahal', 'okeh', 'rakyat', 'bunuh', 'rakyat', 'yg', 'pilih', 'pelan', 'pelan', 'naik', 'yuran', 'bpjs', 'yg', 'capai', 'persenhal', 'bukti', 'dpr', 'jalan', 'tugas', 'perintah', 'sejahtera', 'rakyatnyanah', 'gila', 'tengah', 'tengah', 'wabah', 'corona', 'yg', 'mekanda', 'negara', 'perintah', 'dpr', 'tanggulang', 'biaya', 'sehat', 'masyarakat', 'naik', 'yuran', 'masyarakat', 'ironi', 'mana', 'itikad', 'dr', 'terin', 'dpr', 'laksana', 'perintah', 'mahkamah', 'konstitusi', 'negara', 'uu', 'kasi', 'indonesia', 'perintah', 'dpr', 'itikad']"
1172,"['bpjs', 'kartu', 'sehat', 'aq', 'gak', 'produk', 'gagal', 'untung', 'ga', 'rugi']"
1173,"['dzolim', 'smg', 'cepet', 'sadar', 'smoga', 'siksa', 'akhiratny']"
1174,"['sing', 'makan', 'uang', 'rakyat', 'ben', 'makan', 'corvid']"
1175,"['perintah', 'kalo', 'bgak', 'nyambungsdh', 'tau', 'kondisi', 'ekonomi', 'masyarakat', 'sdh', 'phk', 'hidup', 'sdh', 'susahmalah', 'mikir', 'iur', 'bpjs', 'baik', 'sistem', 'jamin', 'layan', 'lagikesane', 'paksa', 'mikir', 'untung', 'aesebetulnya', 'gaji', 'yg', 'kau', 'makan', 'iku', 'uang', 'rakyat', 'lhoastagfirullahngono', 'yo', 'urip']"
1176,"['klo', 'perintah', 'bubarin', 'bpjs', 'rakyat', 'tau', 'ntaar', 'negara', 'subsidi', 'udah']"
1177,"['teori', 'iyaklas', 'klas', 'layan', 'tdk', 'beda', 'tp', 'praktek', 'tdk', 'sesuai', 'teori']"
1178,"['indonesia', 'serah', 'sakarep', 'mu', 'dewe', 'pakdhe']"
1179,"['ngga', 'ngerti', 'dg', 'negara', 'inipemerintah', 'spt', 'amburadul', 'omong', 'tdk', 'pakem']"
1180,"['kalo', 'gw', 'yg', 'udah', 'usia', 'thun', 'atas', 'nyuruh', 'gw', 'bpjs', 'gw', 'gak', 'bpjs']"
1181,"['indonesia', 'serah']"
1182,"['monggo', 'sy', 'tdk', 'pakai', 'bpjs']"
1183,"['perintah', 'salahsatu', 'doa', 'yg', 'terima', 'doa', 'yg', 'terdzhalimi', 'juta', 'rakyat', 'tuh', 'bgm', 'berkah', 'negara', 'kalo']"
1184,"['rakyat', 'org', 'sulit', 'mikirin', 'makan', 'doi', 'diam', 'naikin', 'bpjs', 'periode', 'bong']"
1185,"['bpjs', 'dgn', 'alas', 'rugi', 'blm', 'aj', 'dipake', 'opname', 'drmh', 'sakit', 'swasta', 'hrs', 'byar', 'apa', 'yg', 'rugi', 'benerin', 'layan', 'kerjasamanya', 'rmh', 'skit', 'swasta']"
1186,"['spy', 'negara', 'ga', 'bangkrut', 'rakyat', 'suruh', 'korban', 'hehe']"
1187,"['perintah', 'presiden', 'jokowi', 'bohong', 'urus', 'bpjskemenkes', 'kemenkeu', 'alkes', 'mafia', 'bpjs', 'dar', 'lapor', 'kertas', 'rekayasa', 'gajih', 'urus', 'bpjs', 'ratus', 'jutaorang', 'langit', 'rakyat', 'derita', 'menghambis', 'uang', 'rakyat', 'perintah', 'meng', 'audit', 'dasar', 'kebawahrumah', 'sakitini', 'korupsi', 'dalam', 'bpjs', 'kong', 'kolikong', 'rumah', 'sakit', 'main', 'anggar', 'depisit', 'pemeritahdan', 'kpk', 'selidik', 'bpjskalau', 'selidik', 'bubar']"
1188,"['perintah', 'dgn', 'naik', 'iur', 'bbjs', 'kalo', 'keberatankan', 'tinggal', 'turun', 'kelas', 'aja', 'gak', 'bela', 'bbjs', 'gaknya', 'jg', 'gak', 'bbjs']"
1189,"['hebata', 'pemerintahdi', 'rakyat', 'lg', 'susah', 'perintah', 'naik', 'bpjsdi', 'rakyat', 'bnyak', 'yg', 'phk', 'tka', 'cina', 'org', 'indonesia', 'indonesia', 'serah', 'perintah', 'gx', 'percaya', 'perintah']"
1190,"['ooonononniuran', 'bpjs', 'jgn', 'lg', 'dongpliss']"
1191,['serah']
1192,"['kalo', 'bpjs', 'pelaynnya', 'tingkat', 'smua', 'rumah', 'sakit', 'gpp', 'layan', 'beda', 'gantung', 'rumkit', 'waktu', 'sehat', 'suruh', 'bayar', 'trus', 'sakit', 'obat', 'susah', 'kesel', 'orng']"
1193,"['serah', 'perintah', 'lelah']"
1194,"['kondisi', 'makan']"
1195,"['korupsi', 'indonesia', 'kaya', 'alam', 'sejahtera', 'rakyat', 'bpjs', 'bangkrut', 'poin']"
1196,['oh']
1197,"['bubar', 'bpjs', 'daftar', 'wajib', 'henti', 'nunggu', 'mati']"
1198,"['awas', 'yg', 'memanfaatka', 'vandemi', 'covid', 'acau', 'negara', 'hati', 'hati', 'boo']"
1199,"['layan', 'aja', 'sembrawut', 'dinaikin']"
1200,"['serah', 'tindak', 'semenah', 'menah']"
1201,"['bpjs', 'haram', 'dinaikkanmakan', 'tu', 'uang', 'haram', 'perintah', 'dzolim']"
1202,['serah']
1203,"['masak', 'bodo', 'bpjs', 'teriak', 'masak', 'bodooo']"
1204,['awan']
1205,"['dengar', 'tu', 'dokter', 'dokter']"
1206,"['bos', 'bantu', 'rakyat', 'kayak', 'pohon', 'diam', 'daun', 'turun', 'akar', 'akar', 'ngerti', 'bos', 'rakyat']"
1207,"['kis', 'gk', 'surabaya', 'suruh', 'bolabalek', 'rumah', 'saket']"
1208,"['tk', 'hasil', 'na', 'hidup', 'doa', 'ros', 'alloh', 'rezeki', 'keluarga', 'ku', 'yg', 'halal', 'barokah', 'amiin', 'moga', 'wakil', 'yg', 'negara', 'pilih', 'alloh', 'yg', 'baik', 'mering', 'beban', 'rakyat', 'indonesa', 'amiiiin']"
1209,"['hajar', 'pa', 'melas', 'jugs', 'bayar', 'mahal']"
1210,"['his', 'speaker', 'of', 'the', 'house', 'is', 'critical']"
1211,[]
1212,"['serta', 'bpjs', 'layan', 'aparatur', 'bpjs', 'aparatur', 'sehat', 'benah', 'layan', 'segenap', 'warganegara', 'indonesia', 'penuh', 'sadar', 'serta', 'bpjs', 'mandiri', 'butuh', 'yg', 'sakit', 'yg', 'sakit', 'bpjs', 'ketenagakerjaan', 'ugd', 'bayar', 'kontan', 'lewat', 'prosedur', 'layan', 'puskesmas', 'cepat', 'minggu', 'cepat', 'tangan', 'rs', 'derita', 'sakit']"
1213,"['obat', 'apotik', 'beli', 'masyarakat', 'miskin', 'yg', 'tdk', 'sedih']"
1214,"['ning', 'program', 'ppjs', 'ide']"
1215,"['kartu', 'yg', 'bayar', 'rp', 'pd', 'yg', 'pakai', 'jd', 'jiwa', 'siluman']"
1216,"['sengsara', 'rakyat', 'jabat', 'buncit']"
1217,"['bener', 'bu']"
1218,"['mantep', 'bu', 'tjiptaning']"
1219,"['belakang', 'awan', 'aja', 'asik', 'main', 'hp', 'ketawa', 'emang', 'bener', 'bilang', 'mas', 'taufik', 'hidayat', 'rombak', 'utama', 'jajar', 'jajar', 'laksana']"
1220,"['selamat', 'petang', 'laurentius', 'soesilo']"
1221,[]
1222,"['ratu', 'wula', 'ntt', 'support', 'you']"
1223,"['abidin', 'fikri', 'sh', 'mhum', 'dapil', 'tuban', 'bojonegoro', 'fpdip', 'rakyat', 'butuh', 'sehat']"
1224,"['akuh', 'salah', 'fokus', 'si', 'kerudung', 'pink', 'lg', 'ngupil', 'main', 'hp', 'fotofoto', 'upload', 'sosmed', 'caption', 'rapat', 'menit', 'dll']"
1225,"['kartu', 'pjs', 'boongan']"
1226,"['bubar', 'aja', 'pjs', 'bobot']"
1227,"['bubar', 'pjs', 'bermutunoll']"
1228,"['bubar', 'aja', 'pjs']"
1229,[]
1230,"['minat', 'pkai', 'pjs', 'pki']"
1231,"['pjs', 'cuman', 'bikin', 'sensara', 'rakyat']"
1232,"['cabut', 'aja', 'pjs']"
1233,"['bubar', 'aja', 'pjs']"
1234,"['bubar', 'aja', 'pjs']"
1235,"['bubar', 'aja', 'pjs']"
1236,"['bubar', 'aja', 'pjs']"
1237,"['lapor', 'bp', 'yg', 'tinggal', 'tagih', 'mertua', 'tinggal', 'tagih', 'bpjsnya', 'canggih', 'koneksi', 'catat', 'sipil', 'lapor', 'warga', 'yg', 'tinggal']"
1238,"['mantap', 'ni', 'pirang', 'krenzzzz', 'yg', 'kayak', 'gin', 'wajib', 'yg', 'dpr']"
1239,"['tu', 'ibu', 'samping', 'kaca', 'sibuk', 'main', 'hp', 'aduh', 'so', 'goblok', 'si', 'etika', 'mgupil', 'kacau', 'ni', 'anggota', 'dewan', 'inu']"
1240,"['omong', 'lebar', 'omong', 'kosong', 'rakyat', 'perhati']"
1241,"['jokowi', 'lambat', 'tindak', 'awan', 'mundur', 'diteshufle']"
1242,"['wauuw', 'alangkah', 'hati', 'mu', 'bu', 'ribka', 'moga', 'sehat', 'dlm', 'lindung', 'tuhan', 'amin']"
1243,"['kalu', 'pinter', 'tau', 'strategi', 'sperti', 'tp', 'klu', 'klewat', 'pinter', 'tau', 'ngambil', 'untung', 'dimna']"
1244,"['ganti', 'menkes', 'ama', 'dirut', 'bpjs', 'korupsi']"
1245,"['urus', 'untu', 'moga', 'lancar', 'sajasaya', 'suka', 'bayar']"
1246,"['beda', 'jamsostek', 'dgn', 'bpjs']"
1247,"['wassalam', 'cinta', 'indonesia', 'ummat', 'mahammad', 'saw', 'pimpin', 'tinggi', 'sayang', 'manusia', 'mahlukdia', 'hormat', 'beril', 'akal', 'yg', 'terbukajangan', 'ganggu', 'iman', 'bebas', 'islam', 'anti', 'budak', 'dendam', 'wenang', 'wenang', 'peristiwa', 'karbala', 'peristiwa', 'yg', 'tanggung', 'imam', 'husain', 'cinta', 'damai', 'cinta', 'adi', 'trims']"
1248,"['orng', 'ngomong', 'perempuan', 'maen', 'hape', 'aja', 'bloon', 'bgt', 'serius', 'bahas', 'nasib', 'rakyat', 'dewan', 'wakil', 'rakyat', 'wakil', 'rakyat']"
1249,"['mantap', 'ribka']"
1250,"['hidup', 'negara', 'asli', 'negara', 'boneka']"
1251,"['baju', 'pink', 'org', 'ngomong', 'main', 'hp', 'aja', 'trusssnd', 'harga', 'sma', 'skli', 'org', 'ngomog']"
1252,"['saran', 'gk', 'coba', 'klo', 'rapat', 'gk', 'yg', 'mainmegang', 'hp', 'kn', 'dr', 'tk', 'ampe', 'kuliah', 'udh', 'ajarin', 'klo', 'kelas', 'fokus', 'gk', 'main', 'hp', 'gk', 'terapin', 'sih', 'coba', 'yg', 'main', 'hp', 'gw', 'jamin', 'gk', 'nangkep', 'gmn', 'rapat', 'hasil', 'kluaran', 'yg', 'bagus', 'klo', 'gin']"
1253,"['tu', 'kelas', 'rumah', 'sakit']"
1254,"['ibuk', 'jilbab', 'pink', 'maen', 'hp', 'mulu']"
1255,"['udah', 'copot', 'aja']"
1256,"['hebat', 'pkbbuk']"
1257,"['susah', 'suap', 'pkstetap', 'bersih', 'totalsetidaknya', 'pks', 'bersih', 'tahu', 'sayasemoga', 'istiqomah', 'tiap', 'goda', 'coba']"
1258,"['dafet', 'bohong']"
1259,"['ni', 'wakil', 'rakyat', 'pas']"
1260,"['drama', 'rapat', 'yg', 'rancang', 'zalem', 'sok', 'kritik', 'perintah', 'sok', 'bela', 'rakyat', 'kong', 'kong']"
1261,"['bpjs', 'usaha', 'komersil']"
1262,"['kayak', 'drama']"
1263,"['fakta', 'rakyat', 'sakit', 'puskesmas', 'rumah', 'sakit', 'uang']"
1264,"['coba', 'trun', 'daerah', 'malu', 'utara']"
1265,"['bpjsbayar', 'sakit']"
1266,"['bpjs', 'pungli', 'tdk', 'rs', 'pake', 'bpjs', 'yg', 'bayar', 'bpjs', 'rakyat']"
1267,['itupkaikrudungpingmainhpetanpamikirdiskusisuruhkeluarajamluin']
1268,"['gak', 'dapet', 'usia', 'th', 'berpenghasiulandesa', 'legok', 'keclegok', 'kab', 'tangerang', 'banten']"
1269,"['ngapain', 'si', 'orangorang', 'rapat', 'maen', 'hp', 'bae', 'bu', 'bu', 'sadar']"
1270,"['rakyat', 'rakyat', 'rakyat']"
1271,"['tolong', 'jelas', 'bu', 'bpjs']"
1272,"['dapet', 'kartu', 'pasy', 'tdk', 'dpt', 'kartu', 'keluarga']"
1273,"['pribadi', 'bangun', 'kantor', 'bpjs', 'bikin', 'rugi', 'banyangkan', 'biaya', 'pembangungan', 'kantor', 'bpjs', 'megah', 'indonesia']"
1274,"['ribka', 'golong', 'kiri', 'awas', 'gembar', 'gembor', 'juang', 'rakyat', 'ntar', 'kalo', 'kuasa', 'wae', 'kaya', 'nenek', 'lampir']"
1275,"['moga', 'miskin', 'sehat', 'umur', 'biar', 'bpjs', 'berlku', 'menkes', 'juragan', 'bpjs']"
1276,"['copot', 'ajah', 'yg', 'tdk', 'butul', 'yiksa', 'rayat', 'ajah']"
1277,"['oh', 'dpr', 'yg', 'ngomong', 'ttg', 'bpjs', 'bibit', 'bibit', 'pk', 'klu', 'gak']"
1278,"['mantap', 'proses']"
1279,"['bpjs', 'bangsaaaattt']"
1280,"['hah', 'pantesan', 'prut', 'or', 'sehat', 'jg', 'dgn', 'jabat', 'yg', 'ngurus', 'bpjs', 'kenyang', 'makan', 'duit', 'rakyat', 'gin', 'kerja']"
1281,"['suka', 'ciptaning', 'hajar', 'jabat']"
1282,"['bpjs', 'udah', 'jarang', 'terima', 'rumah', 'sakit', 'taikan', 'iur', 'bapa', 'yg', 'hormat', 'benerin', 'guna', 'bpjsnya', 'rumah', 'sakit', 'ga', 'terima', 'yg', 'pake', 'bpjs', 'guna', 'bayar', 'bpjs', 'ga', 'guna', 'bayar', 'bpjs']"
1283,"['semogah', 'sadar', 'dr', 'bpjs', 'dr', 'kemenkesnya', 'aamiin', 'rob']"
1284,"['bpjs', 'badan', 'ampo', 'jorok']"
1285,"['sy', 'klo', 'obat', 'rmh', 'sakit', 'serung', 'blm', 'klo', 'opname']"
1286,"['br', 'dpr', 'bener', 'wakil', 'rakyat', 'klo', 'menteri', 'sehat', 'gk', 'bs', 'gk', 'menteri', 'mundur', 'drpd', 'makan', 'gaji', 'buta', 'dr', 'rakyat']"
1287,"['dengang', 'hormat', 'rakyat', 'bpk', 'dpr', 'yg', 'hormat', 'usut', 'sampae', 'tuntas', 'hormat', 'rakyat', 'jelata', 'yg', 'harap', 'awat', 'terimakasih']"
1288,"['mantap', 'buk', 'ibuk', 'bner', 'bpjs', 'rakyat', 'miskin', 'ttp', 'byar', 'kayak', 'kta', 'ibuk', 'bener', 'bangetorang', 'miskin', 'sakit', 'rawat', 'ruang', 'jugak', 'bayar', 'ruang', 'gak', 'mapu', 'bayar', 'kes', 'rumah', 'sakit', 'gak', 'kasi', 'pulang', 'yg', 'sakit', 'nambah', 'tidur', 'ruang', 'malh', 'suruh', 'nambah', 'bayar', 'tidur', 'rumah', 'skitada', 'pa', 'dengn', 'anehgontong', 'royong', 'laku', 'perintah', 'proklamasi', 'eh', 'malh', 'thn', 'knpa', 'gontong', 'royong', 'hilang', 'gontong', 'royong', 'suruh', 'pake', 'uang', 'uang', 'aneh', 'bnget']"
1289,"['harga', 'dpr', 'kalo', 'iya', 'iya', 'iya', 'doang']"
1290,"['pesan', 'dpr', 'omong', 'aksi', 'rakyat', 'boneka', 'yg', 'main', 'dgn']"
1291,"['mantap', 'bu', 'ribka', 'bu', 'ribka', 'harus', 'bu', 'ribka', 'yg', 'tri']"
1292,['know']
1293,"['muka', 'menkes', 'ri', 'drterawan', 'hahaha']"
1294,"['bubar', 'bpjskes']"
1295,"['yayayayaaa', 'gaada', 'faedah', 'dewan', 'bener', 'kaya', 'murit', 'dengerin', 'guru', 'crita', 'cakep', 'baju', 'amburadul', 'kerja', 'sskali', 'mantap', 'buuuu']"
1296,"['kembali', 'komitmen', 'negara', 'hakekat']"
1297,"['mending', 'bubarin', 'aja', 'bpjs', 'sengsara', 'bikin', 'tuwet']"
1298,"['pakai', 'bpjs', 'periksa', 'aja', 'yg', 'pakai', 'bpjs', 'klo', 'ngambil', 'obat', 'bayar', 'bpjs', 'php', 'capek', 'bayar', 'eh', 'obat', 'bayar', 'pake', 'kes', 'ga', 'bayar', 'bpjs', 'tipu', 'obat', 'ga', 'mempan', 'obat', 'palsu']"
1299,"['haaiii', 'anggota', 'dewan', 'nyocros', 'doang', 'cepet', 'tindak', 'lanjut', 'bikin', 'pansusjangan', 'panggong', 'sandiwara', 'cari', 'takyat']"
1300,"['dewan', 'yth', 'komisi', 'ix', 'dengar', 'bjps', 'perintah', 'tdk', 'mengubris', 'dengar', 'dapat', 'anggota', 'dpr', 'bubar', 'bpjs', 'tdk', 'untung', 'rakyat', 'sengsara', 'utk', 'layan', 'tdk', 'maksimal', 'tambah', 'iur', 'naik', 'iur', 'yg', 'yg', 'tdk', 'sanggup', 'bayar', 'dapat', 'bubar', 'rakyat', 'tenteram', 'tdk', 'pikir', 'iur']"
1301,"['paksa', 'menbayar', 'tdk', 'bpjs', 'uang', 'punyaada', 'pensiun', 'sehat', 'rakyat', 'tanggung', 'negara', 'sesuai', 'dg', 'uud']"
1302,"['is', 'the', 'best', 'tjiptaning', 'ucap', 'moga', 'allah', 'swt', 'sehat', 'kpd', 'beliau', 'jgn', 'lupa', 'sayang', 'kpd', 'rakyat', 'tindak', 'aamiin', 'yra']"
1303,"['dokter', 'mah', 'kya', 'tukang', 'sayur', 'masak', 'rendang', 'pake', 'duit', 'klo', 'ga', 'sulit', 'tunda']"
1304,['bohong']
1305,"['allah', 'raut', 'admistrasi']"
1306,"['hasil', 'rapat', 'kenyataanya', 'iur']"
1307,"['pileg', 'dpr', 'pusat', 'sy', 'tdk', 'pilih', 'krn', 'tdk', 'juang', 'utk', 'rakyat']"
1308,"['selamat', 'malam', 'bapa', 'dewan', 'makas', 'ud', 'bicara', 'sidang', 'sayang', 'bapa', 'bicar', 'buang', 'buang', 'tenaga', 'doang', 'bukti', 'pemerinta', 'bpjs', 'uda', 'suda', 'tau', 'faraksi', 'pdip', 'masyarkat', 'ud', 'pintar', 'stop', 'bohong']"
1309,"['peras', 'rakyt', 'sdh', 'sulit', 'msh', 'peras', 'emsng', 'ktlaluan', 'rezim', 'dholim', 'hancur', 'allah']"
1310,"['doa', 'moga', 'smua', 'wakil', 'rakyat', 'pro', 'rakyat', 'rt', 'presidendpr', 'mpr', 'bentuk', 'indonesia', 'yg', 'sejahtera', 'aamiin']"
1311,"['masyarakat', 'desa', 'data', 'rumah', 'tempat', 'rumah', 'pberian', 'tua', 'alias', 'waris', 'tolong', 'masyarakat', 'desa']"
1312,"['viva', 'saudara', 'darah', 'juang', 'mbak', 'ribka', 'cipta', 'ning', 'bicara', 'beliau', 'realita', 'bawah', 'maju', 'suara', 'suara', 'benar']"
1313,"['tegaaang', 'dieorg', 'bnyk', 'boong', 'ny']"
1314,"['makasih', 'bpk', 'menteri', 'kabupatenmagelng']"
1315,"['sak', 'karep', 'karepmu', 'yg', 'wakil', 'rakyat', 'yg', 'tdk', 'hati', 'nurani', 'smua', 'yg', 'nyanyi', 'lagu', 'tuju', 'yesmen', 'yg', 'endingnya', 'luka', 'hati', 'rakyat']"
1316,"['ga', 'kaya', 'yg', 'bener', 'ngomongnya', 'citra', 'doang', 'taek', 'moncong', 'putih']"
1317,"['tlong', 'dewan', 'dbantu', 'cek', 'lapang', 'rumah', 'sakit', 'biar', 'sgera', 'selesaijangan', 'cuman', 'ngomong', 'doankingat', 'gak', 'cuman', 'meja', 'dewan', 'aja', 'terjun', 'dlapanganmks']"
1318,"['bohongin', 'rakyat']"
1319,"['tatar', 'men', 'kes', 'bantu', 'sehat', 'rakyat', 'yg', 'butuh', 'tolong', 'sehat', 'gebuk', 'tuh', 'dgn', 'pancasila']"
1320,"['hajar', 'bu', 'ciptaning', 'perjuangin', 'hak', 'rakyat', 'sampe', 'denyut', 'nadi', 'henti', 'bongkar', 'pusat', 'daerah', 'rakyat', 'dukung', 'ter', 'kapar', 'bravo']"
1321,"['sosialisasi', 'bpjs', 'laksana', 'sesuai', 'waktu', 'sosialisasi', 'sakit', 'obat', 'mana', 'laksana', 'faskes', 'faskesnya']"
1322,"['institusi', 'ma', 'dpri', 'tolak', 'naik', 'bpjs', 'perintah', 'naik', 'pimpin', 'yg', 'bijak', 'pro', 'rakyat']"
1323,"['sontoyo', 'pemefintah', 'dpr']"
1324,"['modus', 'dukung', 'jokowi', 'pura', 'pura', 'doang']"
1325,"['ngomong', 'ajha', 'ga', 'hasil']"
1326,"['kalo', 'naiksaya', 'pengangguranmasya', 'allahmasih', 'naikin']"
1327,"['haru', 'sya', 'komisi', 'lx', 'btl', 'mmperjuangkn', 'masyarakat', 'bawahdoa', 'baik', 'unkmu']"
1328,"['inibaru', 'tidur', 'waktu', 'sidang', 'rakyattetaplah', 'bela', 'rakyat']"
1329,"['untung', 'gak', 'buwat', 'bpjs', 'cuman', 'serah', 'allah', 'aja', 'ihtiar']"
1330,"['kasi', 'bu', 'cipta', 'sdh', 'koar', 'ttg', 'bpjs', 'tpi', 'sayang', 'bpjs', 'gmna', 'naluri', 'pmrinth']"
1331,"['betulrakyatsudahmuakdengan', 'sandiwara', 'bu']"
1332,"['gak', 'pake', 'ppjs', 'kana', 'ngurunya', 'beda', 'buru', 'mati', 'kalo', 'pke', 'ppjs']"
1333,"['dpr', 'adu', 'bicara', 'suk', 'pintar', 'pintar', 'ppailng', 'ribt', 'gak', 'malu', 'apaanda', 'pilh', 'rakya', 'suruh', 'ribut', 'teman', 'sendir', 'cari', 'solosi', 'ide', 'bagus', 'bela', 'rakya', 'yaudah', 'pus', 'lawan', 'tu', 'pemprenta', 'dpr', 'wakil', 'rakyat']"
1334,"['alkhamdulillah', 'ga', 'bpjs']"
1335,"['tuju', 'dgn', 'ribka', 'tjiptaning', 'moga', 'perintah', 'dn', 'dpr', 'respons', 'ribka', 'realisasi', 'layan', 'masyarakat', 'indonesia']"
1336,"['gilir', 'corona', 'dokter', 'yg', 'anggap', 'pahlawan']"
1337,"['bu', 'dpr', 'ngurus', 'hp', 'aja', 'lg', 'rapat']"
1338,"['aja', 'rapat', 'distreaming', 'en', 'yg', 'bkn', 'bakh', 'biar', 'dilht', 'rakyat', 'wauuu', 'gitu', 'lo', 'tp', 'fakta', 'ujung', 'dar', 'darma', 'aja', 'klopun', 'negri', 'tdk', 'tempuruk']"
1339,"['saran', 'ambil', 'alih', 'bpjs', 'perintah', 'perintah', 'produksi', 'dokter', 'awat', 'sus', 'pemerintahbeasiswa', 'banyak', 'rumah', 'sakit', 'perintah', 'libat', 'dana', 'desa', 'bantu', 'anggar', 'yg', 'uang', 'dri', 'rakyat']"
1340,"['banget', 'bu']"
1341,"['yg', 'pakai', 'jilbab', 'warna', 'ping', 'asik', 'dgn', 'hp', 'nyadia', 'lg', 'metting', 'duduk', 'warung', 'kopi']"
1342,"['claimnya', 'zaman', 'sdh', 'serba', 'on', 'line', 'real', 'time', 'msh', 'pola', 'rs', 'butuh', 'by', 'operasional']"
1343,"['sy', 'sakit', 'askes', 'sdh', 'iur', 'th', 'pakai', 'prosedur', 'mbulet', 'vonis', 'telat', 'mbayar', 'dewek']"
1344,"['kenyang', 'mkn', 'kartu', 'jaman', 'kartu']"
1345,"['mesti', 'rakyat', 'bikin', 'rs', 'dana', 'dr', 'anggota', 'bpjs', 'sendirid', 'stiap', 'pronpinsid', 'kecil', 'stiap', 'camat', 'lurah', 'hrs', 'rs', 'layan', 'optimal']"
1346,"['bpjs', 'hapus', 'ae', 'lo', 'marah', 'digawe', 'bisnis', 'oknom', 'sing', 'mbeling']"
1347,"['main', 'hp', 'ngupl']"
1348,"['kaca', 'main', 'hp', 'terusini', 'rapat', 'pakai', 'uang', 'rakyat']"
1349,"['ibu', 'wakil', 'kartini', 'lo', 'semuga', 'ibu', 'tetab', 'sehat', 'walafiat', 'lindung', 'yg', 'maha', 'kuwasa', 'amin']"
1350,"['bondong', 'peras', 'rakyat', 'mengkoruspsi', 'negara']"
1351,"['dpr', 'penghi', 'anat', 'bangsa', 'mem', 'uu', 'ambura', 'dul', 'kerjasama', 'pemerin', 'tahpresiden']"
1352,[]
1353,"['main', 'hp', 'melilu', 'tukang', 'ngupil', 'melulu', 'wakil', 'rakyat']"
1354,"['anggota', 'dpr', 'samping', 'bicara', 'yg', 'maen', 'hp', 'mulu']"
1355,"['mah', 'gak', 'dapet', 'bpjs', 'sehat', 'bantu', 'korona', 'aja', 'gak']"
1356,"['iululluulululul', 'jug', 'lulululululuouououououououououou']"
1357,"['jokowi', 'presiden', 'ri', 'yg', 'musuh', 'rakyat', 'blum', 'presiden', 'dunia', 'yg', 'dg', 'presiden', 'ri', 'jokowi', 'bakar', 'hutan', 'kalimantan', 'jokowi', 'tolak', 'ma', 'kasasi', 'bpjs', 'presiden', 'jokowi', 'tolak', 'kasasi', 'ma', 'larang', 'uud', 'hantu', 'saitan', 'mk', 'tolak', 'mk', 'bukti', 'presiden', 'memuduhi', 'rakyat', 'ganti', 'lh', 'jokowi', 'rakyat', 'aman', 'nyaman', 'makmur']"
